#Position (bp)	mapping quality
2.401441194E9	58.77072390730739
2.406315074E9	59.032457320196634
2.414064881E9	56.19379662589569
2.421814688E9	55.17728595446784
2.429564495E9	53.120061164940026
2.437314302E9	33.94468574660549
2.445064109E9	37.96309506796613
2.452813916E9	59.26020688522796
2.460563723E9	59.2839497963594
2.46831353E9	58.19915495989303
2.476063337E9	59.182830774647734
2.483813144E9	59.40379192760418
2.489234305E9	57.966159363311014
2.4931092085E9	58.44811754678668
2.499312758E9	59.139240815722246
2.507062565E9	56.90373779460223
2.514812372E9	33.585843134689604
2.522562179E9	58.969792843802935
2.530311986E9	57.597295761414784
2.538061793E9	57.71903621117929
2.5458116E9	59.322543815260836
2.553561407E9	58.478216576041646
2.561311214E9	59.37323097902791
2.569061021E9	59.38014992482125
2.573486964E9	58.09452875357245
2.5773618675E9	49.12026391074793
2.584560635E9	58.83339725980828
2.592310442E9	36.31600706490505
2.600060249E9	59.3361101840304
2.607810056E9	59.29471386854618
2.615559863E9	59.40459462180278
2.62330967E9	59.182042609610825
2.631059477E9	57.592800296839634
2.638809284E9	59.27984981432432
2.646559091E9	59.425608908997035
2.6524226415E9	57.853836604355784
2.656297545E9	58.01569854429199
2.662058705E9	58.63726407514899
2.669808512E9	59.29801896863944
2.677558319E9	57.718751105412096
2.685308126E9	59.232744490848695
2.693057933E9	58.1844157255955
2.70080774E9	58.091040427235704
2.708557547E9	58.710445618937925
2.7127306775E9	59.417271872060205
2.716605581E9	59.22466852042491
2.724057161E9	59.15228753150777
2.731806968E9	59.42785695461504
2.739556775E9	44.231952752131846
2.747306582E9	55.5389440017814
2.755056389E9	59.31662229387867
2.762806196E9	59.398745957821546
2.770556003E9	59.32044153515147
2.775951989E9	59.076519552922065
2.7798268925E9	0.0
2.786055617E9	15.904634501231
2.793805424E9	55.24235854455092
2.801555231E9	59.50381787230435
2.809305038E9	58.79328910524947
2.817054845E9	59.04889774423663
2.8225564015E9	57.79592531485057
2.826431305E9	0.0
2.832554459E9	37.262956478321286
2.840304266E9	43.703349313590195
2.848054073E9	57.16889760175749
2.85580388E9	59.25489334796057
2.863553687E9	59.235218625052816
2.8712150565E9	59.25911671919588
2.87508996E9	14.535766901293174
2.879053301E9	58.582052379988475
2.886803108E9	59.22902607198936
2.894552915E9	59.2893954083966
