Sample	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_duplicates
31-Nextera-10ng-3_S7_L001_R2_001	41.0	16.666666666666664	42621073.0	151.0	7.024208567749653
31-Nextera-10ng-3_S7_L002_R1_001	40.0	16.666666666666664	42800647.0	151.0	8.552135043606341
31-Nextera-10ng-3_S7_L002_R2_001	41.0	16.666666666666664	42800647.0	151.0	6.418321946649641
31-Nextera-10ng-3_S7_L003_R1_001	40.0	25.0	43201831.0	151.0	8.619561065068353
31-Nextera-10ng-3_S7_L003_R2_001	41.0	16.666666666666664	43201831.0	151.0	5.142128834484325
31-Nextera-10ng-3_S7_L004_R1_001	41.0	16.666666666666664	42259138.0	151.0	8.605641594260874
31-Nextera-10ng-3_S7_L004_R2_001	41.0	16.666666666666664	42259138.0	151.0	7.598378506931695
32-Nextera-10ng-4_S8_L001_R1_001	40.0	16.666666666666664	46342402.0	151.0	9.086317924770356
32-Nextera-10ng-4_S8_L001_R2_001	41.0	16.666666666666664	46342402.0	151.0	8.05764134252506
32-Nextera-10ng-4_S8_L002_R1_001	40.0	16.666666666666664	46257888.0	151.0	8.942033231257057
32-Nextera-10ng-4_S8_L002_R2_001	41.0	16.666666666666664	46257888.0	151.0	7.239632879496099
32-Nextera-10ng-4_S8_L003_R1_001	40.0	25.0	46482803.0	151.0	8.9630406603072
32-Nextera-10ng-4_S8_L003_R2_001	41.0	16.666666666666664	46482803.0	151.0	5.731914038306499
32-Nextera-10ng-4_S8_L004_R1_001	41.0	16.666666666666664	47031308.0	151.0	9.111996191555207
32-Nextera-10ng-4_S8_L004_R2_001	41.0	16.666666666666664	47031308.0	151.0	8.58798807751397
33-NEB-100ng-1_S1_L001_R1_001	42.0	25.0	62481090.0	151.0	7.498905542868897
33-NEB-100ng-1_S1_L001_R2_001	42.0	16.666666666666664	62481090.0	151.0	6.40190822249339
33-NEB-100ng-1_S1_L002_R1_001	42.0	16.666666666666664	61812287.0	151.0	7.490671728305827
33-NEB-100ng-1_S1_L002_R2_001	42.0	16.666666666666664	61812287.0	151.0	6.307647775873988
33-NEB-100ng-1_S1_L003_R1_001	42.0	16.666666666666664	63583479.0	151.0	7.29210137652106
33-NEB-100ng-1_S1_L003_R2_001	42.0	16.666666666666664	63583479.0	151.0	6.706700996240386
33-NEB-100ng-1_S1_L004_R1_001	42.0	16.666666666666664	63292860.0	151.0	7.75216004135207
33-NEB-100ng-1_S1_L004_R2_001	42.0	16.666666666666664	63292860.0	151.0	7.236908137131678
34-NEB-100ng-2_S2_L001_R1_001	42.0	25.0	49056457.0	151.0	7.2296501667228625
34-NEB-100ng-2_S2_L001_R2_001	42.0	16.666666666666664	49056457.0	151.0	5.769672805208941
34-NEB-100ng-2_S2_L002_R1_001	42.0	16.666666666666664	48699062.0	151.0	7.1179326924277575
34-NEB-100ng-2_S2_L002_R2_001	42.0	16.666666666666664	48699062.0	151.0	5.777213164819983
34-NEB-100ng-2_S2_L003_R1_001	42.0	16.666666666666664	49811733.0	151.0	7.096110925481213
34-NEB-100ng-2_S2_L003_R2_001	42.0	16.666666666666664	49811733.0	151.0	6.221971207440376
34-NEB-100ng-2_S2_L004_R1_001	42.0	16.666666666666664	49712584.0	151.0	7.751524825756036
34-NEB-100ng-2_S2_L004_R2_001	42.0	16.666666666666664	49712584.0	151.0	7.211588724723455
35-NEB-100ng-3_S3_L001_R1_001	42.0	25.0	46768704.0	151.0	7.247409507559496
35-NEB-100ng-3_S3_L001_R2_001	42.0	16.666666666666664	46768704.0	151.0	5.627935148777624
35-NEB-100ng-3_S3_L002_R1_001	42.0	16.666666666666664	46373198.0	151.0	6.969009751470054
35-NEB-100ng-3_S3_L002_R2_001	42.0	16.666666666666664	46373198.0	151.0	5.445126793341942
35-NEB-100ng-3_S3_L003_R1_001	42.0	16.666666666666664	47501340.0	151.0	6.91839765627455
35-NEB-100ng-3_S3_L003_R2_001	42.0	16.666666666666664	47501340.0	151.0	5.935618158706021
35-NEB-100ng-3_S3_L004_R1_001	42.0	16.666666666666664	47263983.0	151.0	7.662921798067671
35-NEB-100ng-3_S3_L004_R2_001	42.0	16.666666666666664	47263983.0	151.0	7.07695688340516
36-NEB-100ng-4_S4_L001_R1_001	42.0	16.666666666666664	44842216.0	151.0	7.176001170496377
36-NEB-100ng-4_S4_L001_R2_001	42.0	16.666666666666664	44842216.0	151.0	5.436461318006053
36-NEB-100ng-4_S4_L002_R1_001	42.0	8.333333333333332	44458808.0	151.0	7.044609150831121
36-NEB-100ng-4_S4_L002_R2_001	42.0	16.666666666666664	44458808.0	151.0	5.508366489527347
36-NEB-100ng-4_S4_L003_R1_001	42.0	16.666666666666664	45590587.0	151.0	6.889265344762748
36-NEB-100ng-4_S4_L003_R2_001	42.0	16.666666666666664	45590587.0	151.0	6.033376877936803
